paper_id,title,score
119648,Feature-aware Modulation for Learning from Temporal Tabular Data,3.9
115361,Multivariate Time Series Anomaly Detection with Idempotent Reconstruction,4.7
121699,UMU-Bench: Closing the Modality Gap in Multimodal Unlearning Evaluation,5.0
119427,Multimodal Tabular Reasoning with Privileged Structured Information,5.0
118371,Hawk: Leveraging Spatial Context for Faster Autoregressive Text-to-Image Generation,3.9
119450,AVR: Active Visual Reasoning for Multimodal Large Language Models in Physical Environments,5.0
119898,StelLA: Subspace Learning in Low-rank Adaptation using Stiefel Manifold,3.5
116604,Point or Line? Using Line-based Representation for Panoptic Symbol Spotting in CAD Drawings,4.7
119739,HeroFilter: Adaptive Spectral Graph Filter for Varying Heterophilic Relations,2.3
120239,Learning to Plan Like the Human Brain via Visuospatial Perception and Semantic-Episodic Synergistic Decision-Making,3.1
120120,Cognitive Predictive Processing: A Human-like Framework for Adaptive Exploration in Open-World Reinforcement Learning,4.0
117746,FlexWorld: Progressively Expanding 3D Scenes for Flexible-View Exploration,5.0
121798,Mind2Web 2: Evaluating Agentic Search with Agent-as-a-Judge,5.0
117831,How Different from the Past? Spatio-Temporal Time Series Forecasting with Self-Supervised Deviation Learning,5.0
118099,Implicit Modeling for Transferability Estimation of Vision Foundation Models,5.0
119694,MigGPT: Harnessing Large Language Models for Automated Migration of Out-of-Tree Linux Kernel Patches Across Versions,5.0
115759,SAM2Flow: Interactive Optical Flow Estimation with Dual Memory for in vivo Microcirculation Analysis,4.3
118038,Towards Human-Like Language Comprehension: Incremental and Wrap-Up Based fMRI-to-Text Decoding,5.0
119345,Breaking the Gold Standard: Extracting Forgotten Data under Exact Unlearning in Large Language Models,5.0
118773,SoPo: Text-to-Motion Generation Using Semi-Online Preference Optimization,4.7
117283,Improved Robust Estimation for Erdős-Rényi Graphs: The Sparse Regime and Optimal Breakdown Point,1.5
116100,Factor Decorrelation Enhanced Data Removal from Deep Predictive Models,5.0
119724,PANGEA: Projection-Based Augmentation with Non-Relevant General Data for Enhanced Domain Adaptation in LLMs,3.5
119261,Accurately Predicting Protein Mutational Effects via a Hierarchical Many-Body Attention Network,4.7
118583,Dimension-Reduction Attack! Video Generative Models are Experts on Controllable Image Synthesis,3.6
119339,Latent Space Factorization in LoRA,3.0
119971,Reinforced Active Learning for Large-Scale Virtual Screening with Learnable Policy Model,3.9
120277,Reconstruction and Secrecy under Approximate Distance Queries,1.5
117632,Vocabulary In-Context Learning in Transformers: Benefits of Positional Encoding,2.3
119665,Unified Reinforcement and Imitation Learning for Vision-Language Models,5.0
116675,OmniTry: Virtual Try-On Anything without Masks,5.0
117145,RiboFlow: Conditional De Novo RNA Co-Design via Synergistic Flow Matching,5.0
118294,Multi-Scale Finetuning for Encoder-based Time Series Foundation Models,5.0
118791,Error Broadcast and Decorrelation as a Potential Artificial and Natural Learning Mechanism,5.0
118731,Feature Unlearning: Theoretical Foundations and Practical Applications with Shuffling,3.9
115896,Pareto Optimal Risk-Agnostic Distributional Bandits with Heavy-Tail Rewards,4.2
117335,Breaking the Frozen Subspace: Importance Sampling for Low-Rank Optimization in LLM Pretraining,2.3
116339,Balanced Conic Rectified Flow,3.2
118089,Visual Sync: Multi‑Camera Synchronization via Cross‑View Object Motion,3.1
117350,CoDA: Coordinated Diffusion Noise Optimization for Whole-Body Manipulation of Articulated Objects,5.0
118162,Retrospective In-Context Learning for Temporal Credit Assignment with Large Language Models,3.9
116892,Collaborative and Confidential Junction Trees for Hybrid Bayesian Networks,5.0
118936,Online locally differentially private conformal prediction via binary inquiries,3.9
115917,Online robust locally differentially private learning for nonparametric regression,3.9
117319,New Parallel and Streaming Algorithms for Directed Densest Subgraph,3.1
119178,Zero-shot Denoising via Neural Compression: Theoretical and algorithmic framework,5.0
116003,Backdoor Cleaning without External Guidance in MLLM Fine-tuning,4.7
115725,Unleashing Diffusion Transformers for Visual Correspondence by Modulating Massive Activations,3.9
120321,GFM-RAG: Graph Foundation Model for Retrieval Augmented Generation,5.0
116563,OmniVCus: Feedforward Subject-driven Video Customization with Multimodal Control Conditions,3.9
119154,LinEAS: End-to-end Learning of Activation Steering with a Distributional Loss,2.8
117920,Geometry-Aware Collaborative Multi-Solutions Optimizer for Model Fine-Tuning with Parameter Efficiency,2.6
117732,You Only Spectralize Once: Taking a Spectral Detour to Accelerate Graph Neural Network,5.0
121605,CSI-Bench: A Large-Scale In-the-Wild Dataset for Multi-task WiFi Sensing,3.1
116354,Local-Global Coupling Spiking Graph Transformer  for Brain Disorders Diagnosis from Two Perspectives,5.0
115034,RefLoRA: Refactored Low-Rank Adaptation for Efficient Fine-Tuning of Large Models,3.1
121578,ThinkBench: Dynamic Out-of-Distribution Evaluation for Robust LLM Reasoning,5.0
117301,Wasserstein convergence of critically damped Langevin diffusions,3.1
118437,"ATLAS: Autoformalizing Theorems through Lifting, Augmentation, and Synthesis of Data",5.0
115330,COOPERA: Continual Open-Ended Human-Robot Assistance,4.7
118347,Embodied Crowd Counting,5.0
117897,StyleGuard: Preventing Text-to-Image-Model-based Style Mimicry Attacks by Style Perturbations,3.9
115564,Finding Low-Rank Matrix Weights in DNNs via Riemannian Optimization: RAdaGrad and RAadmW,3.6
116146,Learning to Watermark: A Selective Watermarking Framework for Large Language Models via Multi-Objective Optimization,3.9
117776,"Compress, Gather, and Recompute: REFORMing Long-Context Processing in Transformers",3.9
116233,Curriculum Model Merging: Harmonizing Expert Chemical LLMs for Enhanced Cross-Task Generalization,5.0
119628,Rebalancing Contrastive Alignment with Learnable Semantic Gaps in Text-Video Retrieval,5.0
115684,Non-convex entropic mean-field optimization via Best Response flow,2.0
118539,DartQuant: Efficient Rotational Distribution Calibration for LLM Quantization,3.1
119207,Noise Hypernetworks: Moving Test-Time Compute in Diffusion Models to Training,3.1
118273,On the Convergence of Single-Timescale Actor-Critic,3.1
116357,Selective Learning for Deep Time Series Forecasting,5.0
116824,CyIN: Cyclic Informative Latent Space for Bridging Complete and Incomplete Multimodal Learning,4.7
115426,Zero-shot World Models via Search in Memory,1.5
116684,Interaction-Centric Knowledge Infusion and Transfer for Open Vocabulary Scene Graph Generation,5.0
115569,On the Integration of Spatial-Temporal Knowledge: A Lightweight Approach to Atmospheric Time Series Forecasting,4.7
120139,Path-specific effects for pulse-oximetry guided decisions in critical care,5.0
119809,InfMasking: Unleashing Synergistic Information \\ by Contrastive Multimodal Interactions,5.0
115748,Regret Analysis of Average-Reward Unichain MDPs via an Actor-Critic Approach,2.3
121981,On the Convergence of Projected Policy Gradient for Any Constant Step Sizes,2.3
115199,Exploring Neural Granger Causality with xLSTMs: Unveiling Temporal Dependencies in Complex Data,4.7
120157,Asymptotically Stable Quaternion-valued Hopfield-structured Neural Network with Periodic Projection-based Supervised Learning Rules,3.9
118327,Influence Functions for Edge Edits in Non-Convex Graph Neural Networks,3.9
116466,Self-Evolving Pseudo-Rehearsal for Catastrophic Forgetting with Task Similarity in LLMs,3.9
118288,Elastic ViTs from Pretrained Models without Retraining,3.5
119557,SGAR: Structural Generative Augmentation for 3D Human Motion Retrieval,3.9
