rank,paper_id,title,composite_score,innovation_score,interdisciplinary_score,session_adjusted_highlight_score,decision,openreview_url,institutions_formatted
1,121385,MathArena: Evaluating LLMs on Uncontaminated Math Competitions,0.988031914893617,5.0,5.0,4.5,Accept (poster),https://openreview.net/forum?id=y0zL9IZxZ7,"Swiss Federal Institute of Technology; Department of Computer Science, ETHZ - ETH Zurich; INSAIT, Sofia University, Bulgaria; ETH Zurich; ETH Zurich and INSAIT, Sofia University"
2,119150,The Graphon Limit Hypothesis: Understanding Neural Network Pruning via Infinite Width Analysis,0.988031914893617,5.0,5.0,4.5,Accept (spotlight),https://openreview.net/forum?id=EEZLBhyer1,"University of Warwick; CSIRO&#x27;s Data61; CISPA Helmholtz Center; CISPA Helmholtz Center for Information Security; University of Warwick, UK"
3,116892,Collaborative and Confidential Junction Trees for Hybrid Bayesian Networks,0.988031914893617,5.0,5.0,4.5,Accept (poster),https://openreview.net/forum?id=ehfIVCHxkX,Delft University of Technology; University of Neuchâtel; ASML The Netherlands B.V.; ASML; University of Turin; TU Delft
4,121602,Situat3DChange: Situated 3D Change Understanding Dataset for Multimodal Large Language Model,0.988031914893617,5.0,5.0,4.5,Accept (poster),https://openreview.net/forum?id=WHARtAg5R9,Karlsruher Institut für Technologie; Karlsruhe Institute of Technology; Karlsruhe Institute for Technology; Hunan University; ETH Zurich
5,121393,MJ-Bench: Is Your Multimodal Reward Model Really a Good Judge for Text-to-Image Generation?,0.988031914893617,5.0,5.0,4.5,Accept (poster),https://openreview.net/forum?id=woQKlen8EI,"University of Chicago; Shanghai Jiao Tong University; University of Science and Technology of China; The University of North Carolina at Chapel Hill; University of Electronic Science and Technology of China; Fudan University; Stanford University; Duke University; Ecole Supérieure des Sciences Economiques et Commerciales; Northwestern University; University of California Santa Cruz; University of California, San Diego; Tencent; University of Queensland; TTIC; Meta; Stanford; University of North Carolina at Chapel Hill"
6,118998,FedFree: Breaking Knowledge-sharing Barriers through Layer-wise Alignment in Heterogeneous Federated Learning,0.988031914893617,5.0,5.0,4.5,Accept (poster),https://openreview.net/forum?id=G10Y4vrhGF,Shanghai University of Electric Power; Technical University of Denmark; East China Normal University; University of Technology Sydney; University of Technology Sydney (UTS)
7,115836,FAST: Foreground‑aware Diffusion with Accelerated Sampling Trajectory for Segmentation‑oriented Anomaly Synthesis,0.988031914893617,5.0,5.0,4.5,Accept (poster),https://openreview.net/forum?id=qqEfm8tlCM,shanghai jiao tong university; Shanghai Jiaotong University; Shenzhen University; catl; University of Surrey; University of New South Wales; City University of Hong Kong
8,119632,"Latent Zoning Network: A Unified Principle for Generative Modeling, Representation Learning, and Classification",0.988031914893617,5.0,5.0,4.5,Accept (poster),https://openreview.net/forum?id=8KuKSKLott,"Microsoft Research; Tsinghua University, Tsinghua University; Tsinghua University; Samsung Research UK; Google; Microsoft"
9,118493,Breaking the Batch Barrier (B3) of Contrastive Learning via Smart Batch Mining,0.988031914893617,5.0,5.0,4.5,Accept (spotlight),https://openreview.net/forum?id=M8zmlixh9y,Duke University; Google Cloud AI Research; SalesForce.com; University of Waterloo; Tencent; Salesforce Research; University of Waterloo/Google DeepMind
10,115994,Retrieval-Guided Compositional Image Generation for Cross-Domain Few-Shot Object Detection,0.988031914893617,5.0,5.0,4.5,Accept (poster),https://openreview.net/forum?id=p2EycV4XOa,"Fudan University; Institute for Computer Science, Artificial Intelligence and Technology; East China Normal University; The Hong Kong University of Science and Technology (Guangzhou) &amp; INSAIT, Sofia University; INSAIT Sofia &amp; ETH Zurich; Fudan University, Shanghai;; Computer Vision Lab, ETH Zurich"
