rank,paper_id,title,composite_score,innovation_score,interdisciplinary_score,session_adjusted_highlight_score,decision,openreview_url,institutions_formatted
1,117702,Hierarchical Optimization via LLM-Guided Objective Evolution for Mobility-on-Demand Systems,1.0,5.0,5.0,4.8,Accept (poster),https://openreview.net/forum?id=VGB2TV0QUE,"Agency for Science, Technology and Research; , A*STAR; A*STAR, Singapore; Onto Innovation; A*STAR; Lancaster University"
2,117270,RepoMaster: Autonomous Exploration and Understanding of GitHub Repositories for  Complex Task Solving,0.9960106382978723,5.0,5.0,4.7,Accept (spotlight),https://openreview.net/forum?id=aSfBbhUJAa,"independent; Institute of automation, Chinese academy of science; Beijing University of Posts and Telecommunications; Chinese Academy of Sciences; Megvii Technology Inc.; Peking University; Shandong University; National University of Singapore; Tsinghua University; South China Normal University; Institute of automation, Chinese academy of science, Chinese Academy of Sciences"
3,118234,FlowMoE: A Scalable Pipeline Scheduling Framework for Distributed Mixture-of-Experts Training,0.9960106382978723,5.0,5.0,4.7,Accept (poster),https://openreview.net/forum?id=PBvlBI6c30,"Zhejiang University; University of Surrey; Xi&#x27;an Jiaotong-Liverpool University; Northeastern University; Khalifa University of Science, Technology and Research"
4,119661,InstructSAM: A Training-free Framework for Instruction-Oriented Remote Sensing Object Recognition,0.9920212765957447,5.0,5.0,4.6,Accept (poster),https://openreview.net/forum?id=7yRwAEWxto,University of Chinese Academy of Sciences; University of the Chinese Academy of Sciences; Harbin Institute of Technology; Shanghai Jiaotong University; University of Wollongong; Chinese Academy of Sciences; Shanghai AI Laboratory
5,117057,Retrieval is Not Enough: Enhancing RAG through Test-Time Critique and Optimization,0.9920212765957447,5.0,5.0,4.6,Accept (poster),https://openreview.net/forum?id=cnUq7GkS6d,Zhejiang University; South China University of Technology; University of British Columbia; Shanghai Artificial Intelligence Laboratory; Fudan University; Carnegie Mellon University; Shanghai AI Lab
6,121816,SoMi-ToM: Evaluating Multi-Perspective Theory of Mind in Embodied Social Interactions,0.9920212765957447,5.0,5.0,4.6,Accept (poster),https://openreview.net/forum?id=7zFLFtqBm0,"The University of Hong Kong; CMU, Carnegie Mellon University; New York University; University of California Irvine; Stanford University; Carnegie Mellon University"
7,116674,Exploring the Limits of Vision-Language-Action Manipulations in Cross-task Generalization,0.9920212765957447,5.0,5.0,4.6,Accept (poster),https://openreview.net/forum?id=h6xQClTm4W,The Hong Kong University of Science and Technology (Guangzhou); The Hong Kong University of Science and Technology(Guangzhou); Shanghai Artificial Intelligence Laboratory; The Hong Kong University of Science and Technology; Hong Kong University of Science and Technology (Guangzhou); The University of Hong Kong; SUN YAT-SEN UNIVERSITY
8,120159,Enhancing Temporal Understanding in Video-LLMs through Stacked Temporal Attention in Vision Encoders,0.988031914893617,5.0,5.0,4.5,Accept (poster),https://openreview.net/forum?id=2EJrs3gUO6,"L3S Research Center; Sharif University of Technology; Sharif University of Technology, Sharif University of Technology; L3S Research Center, Leibniz Universität Hannover; Microsoft"
9,116005,Is PRM Necessary? Problem-Solving RL Implicitly Induces PRM Capability in LLMs,0.988031914893617,5.0,5.0,4.5,Accept (poster),https://openreview.net/forum?id=ooiHIklvN5,"Harbin Institute of Technology; Zhejiang University; Hong Kong University of Science and Technology; University of California, Los Angeles; Huawei Technologies Ltd.; Southern University of Science and Technology of China; Alibaba Group Inc."
10,115182,ORIGAMISPACE: Benchmarking Multimodal LLMs in Multi-Step Spatial Reasoning with Mathematical Constraints,0.988031914893617,5.0,5.0,4.5,Accept (spotlight),https://openreview.net/forum?id=y7ahj9RoXQ,Fudan University; inftech; Tencent Youtu Lab; ByteDance Seed; fudan
