rank,paper_id,title,composite_score,innovation_score,interdisciplinary_score,session_adjusted_highlight_score,decision,openreview_url,institutions_formatted
1,120081,Vicinity-Guided Discriminative Latent Diffusion for Privacy-Preserving Domain Adaptation,1.0,5.0,5.0,4.8,Accept (poster),https://openreview.net/forum?id=2yekKXLCLc,University of Alberta; University of British Columbia; Amazon; Ocean University of China; Ewha Womans University
2,120074,DAWP: A framework for global observation forecasting via Data Assimilation and Weather Prediction in satellite observation space,0.9960106382978723,5.0,5.0,4.7,Accept (poster),https://openreview.net/forum?id=32JgYdTfT9,"Shanghai Jiaotong University; Fudan University; Chinese University of Hong Kong; Nanjing University of Information Science and Technology; Shanghai Artificial Intelligence Laboratory; Shanghai Jiao Tong University; UNSW, Sydney"
3,116836,Less is More: an Attention-free Sequence Prediction Modeling for Offline Embodied Learning,0.9960106382978723,5.0,5.0,4.7,Accept (poster),https://openreview.net/forum?id=fXG1BvwqGt,Shanghai AI Laboratory; Tsinghua University; Shanghai Artificial Intelligence Laboratory; nanjing university; Wuhan University; Shanghai Jiaotong University; Midea Group; Shanghai artificial intelligence laboratory
4,115135,FuncGenFoil: Airfoil Generation and Editing Model in Function Space,0.9960106382978723,5.0,5.0,4.7,Accept (poster),https://openreview.net/forum?id=yXitkQJmpj,Shanghai Artificial Intelligence Laboratory; Fudan University; Shanghai Jiaotong University; The Hong Kong University of Science and Technology; The Chinese University of Hong Kong; Zhejiang University; Shanghai Aircraft Design and Research Institute; Shanghai AI Lab
5,117057,Retrieval is Not Enough: Enhancing RAG through Test-Time Critique and Optimization,0.9920212765957447,5.0,5.0,4.6,Accept (poster),https://openreview.net/forum?id=cnUq7GkS6d,Zhejiang University; South China University of Technology; University of British Columbia; Shanghai Artificial Intelligence Laboratory; Fudan University; Carnegie Mellon University; Shanghai AI Lab
6,116674,Exploring the Limits of Vision-Language-Action Manipulations in Cross-task Generalization,0.9920212765957447,5.0,5.0,4.6,Accept (poster),https://openreview.net/forum?id=h6xQClTm4W,The Hong Kong University of Science and Technology (Guangzhou); The Hong Kong University of Science and Technology(Guangzhou); Shanghai Artificial Intelligence Laboratory; The Hong Kong University of Science and Technology; Hong Kong University of Science and Technology (Guangzhou); The University of Hong Kong; SUN YAT-SEN UNIVERSITY
7,119056,AdaVideoRAG: Omni-Contextual Adaptive Retrieval-Augmented for Efficient Long Video Understanding,0.988031914893617,5.0,5.0,4.5,Accept (poster),https://openreview.net/forum?id=FDAI0PY9Qp,"Zhejiang University (ZJU); Zhejiang University; Huazhong University of Science and Technology; ByteDance Inc.; University of Technology, Sydney"
8,121802,SURDS: Benchmarking Spatial Understanding and Reasoning in Driving Scenarios with Vision Language Models,0.988031914893617,5.0,5.0,4.5,Accept (poster),https://openreview.net/forum?id=A9Jfrc1ouy,"Wuhan University; State Key Laboratory of Multimodal Artificial Intelligence Systems, Institute of Automation, Chinese Academy of Sciences; School of Artificial Intelligence, University of Chinese Academy of Sciences; University of Technology Sydney; Research, Microsoft; Institute of automation, Chinese academy of science, Chinese Academy of Sciences; Xi&#x27;an Jiaotong University; bytedance; Tsinghua University, Tsinghua University"
9,121718,Surprise3D: A Dataset for Spatial Understanding and Reasoning in Complex 3D Scenes,0.988031914893617,5.0,5.0,4.5,Accept (poster),https://openreview.net/forum?id=JaOcuRbglz,Mohamed bin Zayed University of Artificial Intelligence; The University of Hong Kong; Beijing University of Posts and Telecommunications; HKU; Mohamed bin Zayed University of AI; Unimelb &amp; MBZUAI
10,118805,Perception Encoder: The best visual embeddings are not at the output of the network,0.988031914893617,5.0,5.0,4.5,Accept (oral),https://openreview.net/forum?id=INqBOmwIpG,"Meta; Facebook; FAIR; Johns Hopkins University; University of California Berkeley; Mohamed Bin Zayed University of Artificial Intelligence; Fudan University; FAIR, Meta; Facebook AI Research"
