rank,paper_id,title,composite_score,innovation_score,interdisciplinary_score,session_adjusted_highlight_score,decision,openreview_url,institutions_formatted
1,120081,Vicinity-Guided Discriminative Latent Diffusion for Privacy-Preserving Domain Adaptation,1.0,5.0,5.0,4.8,Accept (poster),https://openreview.net/forum?id=2yekKXLCLc,University of Alberta; University of British Columbia; Amazon; Ocean University of China; Ewha Womans University
2,117702,Hierarchical Optimization via LLM-Guided Objective Evolution for Mobility-on-Demand Systems,1.0,5.0,5.0,4.8,Accept (poster),https://openreview.net/forum?id=VGB2TV0QUE,"Agency for Science, Technology and Research; , A*STAR; A*STAR, Singapore; Onto Innovation; A*STAR; Lancaster University"
3,116836,Less is More: an Attention-free Sequence Prediction Modeling for Offline Embodied Learning,0.9960106382978723,5.0,5.0,4.7,Accept (poster),https://openreview.net/forum?id=fXG1BvwqGt,Shanghai AI Laboratory; Tsinghua University; Shanghai Artificial Intelligence Laboratory; nanjing university; Wuhan University; Shanghai Jiaotong University; Midea Group; Shanghai artificial intelligence laboratory
4,117270,RepoMaster: Autonomous Exploration and Understanding of GitHub Repositories for  Complex Task Solving,0.9960106382978723,5.0,5.0,4.7,Accept (spotlight),https://openreview.net/forum?id=aSfBbhUJAa,"independent; Institute of automation, Chinese academy of science; Beijing University of Posts and Telecommunications; Chinese Academy of Sciences; Megvii Technology Inc.; Peking University; Shandong University; National University of Singapore; Tsinghua University; South China Normal University; Institute of automation, Chinese academy of science, Chinese Academy of Sciences"
5,120074,DAWP: A framework for global observation forecasting via Data Assimilation and Weather Prediction in satellite observation space,0.9960106382978723,5.0,5.0,4.7,Accept (poster),https://openreview.net/forum?id=32JgYdTfT9,"Shanghai Jiaotong University; Fudan University; Chinese University of Hong Kong; Nanjing University of Information Science and Technology; Shanghai Artificial Intelligence Laboratory; Shanghai Jiao Tong University; UNSW, Sydney"
6,119879,StableGuard: Towards Unified Copyright Protection and Tamper Localization in Latent Diffusion Models,0.9960106382978723,5.0,5.0,4.7,Accept (poster),https://openreview.net/forum?id=5KuiDLT0rm,South China University of Technology; City University of Hong Kong; Hong Kong Polytechnic University; Dongguan University of Technology; Singapore Management University
7,115308,TITAN: A Trajectory-Informed Technique for Adaptive Parameter Freezing in Large-Scale VQE,0.9960106382978723,5.0,5.0,4.7,Accept (poster),https://openreview.net/forum?id=weU95NZePs,Stevens Institute of Technology; National Taiwan University; Nanyang Technological University; Rensselaer Polytechnic Institute; JD explore Academy
8,115135,FuncGenFoil: Airfoil Generation and Editing Model in Function Space,0.9960106382978723,5.0,5.0,4.7,Accept (poster),https://openreview.net/forum?id=yXitkQJmpj,Shanghai Artificial Intelligence Laboratory; Fudan University; Shanghai Jiaotong University; The Hong Kong University of Science and Technology; The Chinese University of Hong Kong; Zhejiang University; Shanghai Aircraft Design and Research Institute; Shanghai AI Lab
9,118234,FlowMoE: A Scalable Pipeline Scheduling Framework for Distributed Mixture-of-Experts Training,0.9960106382978723,5.0,5.0,4.7,Accept (poster),https://openreview.net/forum?id=PBvlBI6c30,"Zhejiang University; University of Surrey; Xi&#x27;an Jiaotong-Liverpool University; Northeastern University; Khalifa University of Science, Technology and Research"
10,119661,InstructSAM: A Training-free Framework for Instruction-Oriented Remote Sensing Object Recognition,0.9920212765957447,5.0,5.0,4.6,Accept (poster),https://openreview.net/forum?id=7yRwAEWxto,University of Chinese Academy of Sciences; University of the Chinese Academy of Sciences; Harbin Institute of Technology; Shanghai Jiaotong University; University of Wollongong; Chinese Academy of Sciences; Shanghai AI Laboratory
