rank,paper_id,title,composite_score,innovation_score,interdisciplinary_score,session_adjusted_highlight_score,decision,openreview_url,institutions
1,117702,Hierarchical Optimization via LLM-Guided Objective Evolution for Mobility-on-Demand Systems,1.0,5.0,5.0,4.8,Accept (poster),https://openreview.net/forum?id=VGB2TV0QUE,"A*STAR, A*STAR, Singapore, Agency for Science, Technology and Research, Lancaster University, Onto Innovation"
2,118234,FlowMoE: A Scalable Pipeline Scheduling Framework for Distributed Mixture-of-Experts Training,0.9960106382978723,5.0,5.0,4.7,Accept (poster),https://openreview.net/forum?id=PBvlBI6c30,"Khalifa University of Science, Technology and Research, Northeastern University, University of Surrey, Xi&#x27;an Jiaotong-Liverpool University, Zhejiang University"
3,117270,RepoMaster: Autonomous Exploration and Understanding of GitHub Repositories for  Complex Task Solving,0.9960106382978723,5.0,5.0,4.7,Accept (spotlight),https://openreview.net/forum?id=aSfBbhUJAa,"Beijing University of Posts and Telecommunications, Chinese Academy of Sciences, Institute of automation, Chinese academy of science, Institute of automation, Chinese academy of science, Chinese Academy of Sciences, Megvii Technology Inc., National University of Singapore, Peking University, Shandong University, South China Normal University, Tsinghua University, independent"
4,117057,Retrieval is Not Enough: Enhancing RAG through Test-Time Critique and Optimization,0.9920212765957447,5.0,5.0,4.6,Accept (poster),https://openreview.net/forum?id=cnUq7GkS6d,"Carnegie Mellon University, Fudan University, Shanghai AI Lab, Shanghai Artificial Intelligence Laboratory, South China University of Technology, University of British Columbia, Zhejiang University"
5,119661,InstructSAM: A Training-free Framework for Instruction-Oriented Remote Sensing Object Recognition,0.9920212765957447,5.0,5.0,4.6,Accept (poster),https://openreview.net/forum?id=7yRwAEWxto,"Chinese Academy of Sciences, Harbin Institute of Technology, Shanghai AI Laboratory, Shanghai Jiaotong University, University of Chinese Academy of Sciences, University of Wollongong, University of the Chinese Academy of Sciences"
6,121816,SoMi-ToM: Evaluating Multi-Perspective Theory of Mind in Embodied Social Interactions,0.9920212765957447,5.0,5.0,4.6,Accept (poster),https://openreview.net/forum?id=7zFLFtqBm0,"CMU, Carnegie Mellon University, Carnegie Mellon University, New York University, Stanford University, The University of Hong Kong, University of California Irvine"
7,116674,Exploring the Limits of Vision-Language-Action Manipulations in Cross-task Generalization,0.9920212765957447,5.0,5.0,4.6,Accept (poster),https://openreview.net/forum?id=h6xQClTm4W,"Hong Kong University of Science and Technology (Guangzhou), SUN YAT-SEN UNIVERSITY, Shanghai Artificial Intelligence Laboratory, The Hong Kong University of Science and Technology, The Hong Kong University of Science and Technology (Guangzhou), The Hong Kong University of Science and Technology(Guangzhou), The University of Hong Kong"
8,120293,Latent Chain-of-Thought for Visual Reasoning,0.988031914893617,5.0,5.0,4.5,Accept (poster),https://openreview.net/forum?id=0i8ClSr3kQ,"DEVCOM Army Research Laboratory, Rochester Institute of Technology, Snap Inc., U. Rochester, University of Rochester"
9,118230,SoTA with Less: MCTS-Guided Sample Selection for Data-Efficient Visual Reasoning Self-Improvement,0.988031914893617,5.0,5.0,4.5,Accept (spotlight),https://openreview.net/forum?id=PHu9xJeAum,"Center for Research on Intelligent System and Engineering,  Institute of Automation, CAS, University of Chinese Academy of Sciences, Cornell University, Microsoft, University of Maryland, University of Maryland, College Park"
10,117838,Accurate KV Cache Eviction via Anchor Direction Projection for Efficient LLM Inference,0.988031914893617,5.0,5.0,4.5,Accept (poster),https://openreview.net/forum?id=Tdl89SZItB,"Huawei Noah&#x27;s Ark Lab, Huawei Technologies Ltd., Northwest Polytechnical University Xi&#x27;an, Tianjin University, University of Science and Technology of China"
