rank,paper_id,title,composite_score,innovation_score,interdisciplinary_score,session_adjusted_highlight_score,decision,openreview_url,institutions
1,120081,Vicinity-Guided Discriminative Latent Diffusion for Privacy-Preserving Domain Adaptation,1.0,5.0,5.0,4.8,Accept (poster),https://openreview.net/forum?id=2yekKXLCLc,"Amazon, Ewha Womans University, Ocean University of China, University of Alberta, University of British Columbia"
2,115135,FuncGenFoil: Airfoil Generation and Editing Model in Function Space,0.9960106382978723,5.0,5.0,4.7,Accept (poster),https://openreview.net/forum?id=yXitkQJmpj,"Fudan University, Shanghai AI Lab, Shanghai Aircraft Design and Research Institute, Shanghai Artificial Intelligence Laboratory, Shanghai Jiaotong University, The Chinese University of Hong Kong, The Hong Kong University of Science and Technology, Zhejiang University"
3,120074,DAWP: A framework for global observation forecasting via Data Assimilation and Weather Prediction in satellite observation space,0.9960106382978723,5.0,5.0,4.7,Accept (poster),https://openreview.net/forum?id=32JgYdTfT9,"Chinese University of Hong Kong, Fudan University, Nanjing University of Information Science and Technology, Shanghai Artificial Intelligence Laboratory, Shanghai Jiao Tong University, Shanghai Jiaotong University, UNSW, Sydney"
4,117270,RepoMaster: Autonomous Exploration and Understanding of GitHub Repositories for  Complex Task Solving,0.9960106382978723,5.0,5.0,4.7,Accept (spotlight),https://openreview.net/forum?id=aSfBbhUJAa,"Beijing University of Posts and Telecommunications, Chinese Academy of Sciences, Institute of automation, Chinese academy of science, Institute of automation, Chinese academy of science, Chinese Academy of Sciences, Megvii Technology Inc., National University of Singapore, Peking University, Shandong University, South China Normal University, Tsinghua University, independent"
5,115308,TITAN: A Trajectory-Informed Technique for Adaptive Parameter Freezing in Large-Scale VQE,0.9960106382978723,5.0,5.0,4.7,Accept (poster),https://openreview.net/forum?id=weU95NZePs,"JD explore Academy, Nanyang Technological University, National Taiwan University, Rensselaer Polytechnic Institute, Stevens Institute of Technology"
6,116836,Less is More: an Attention-free Sequence Prediction Modeling for Offline Embodied Learning,0.9960106382978723,5.0,5.0,4.7,Accept (poster),https://openreview.net/forum?id=fXG1BvwqGt,"Midea Group, Shanghai AI Laboratory; Tsinghua University, Shanghai Artificial Intelligence Laboratory, Shanghai Jiaotong University, Shanghai artificial intelligence laboratory, Wuhan University, nanjing university"
7,117057,Retrieval is Not Enough: Enhancing RAG through Test-Time Critique and Optimization,0.9920212765957447,5.0,5.0,4.6,Accept (poster),https://openreview.net/forum?id=cnUq7GkS6d,"Carnegie Mellon University, Fudan University, Shanghai AI Lab, Shanghai Artificial Intelligence Laboratory, South China University of Technology, University of British Columbia, Zhejiang University"
8,116674,Exploring the Limits of Vision-Language-Action Manipulations in Cross-task Generalization,0.9920212765957447,5.0,5.0,4.6,Accept (poster),https://openreview.net/forum?id=h6xQClTm4W,"Hong Kong University of Science and Technology (Guangzhou), SUN YAT-SEN UNIVERSITY, Shanghai Artificial Intelligence Laboratory, The Hong Kong University of Science and Technology, The Hong Kong University of Science and Technology (Guangzhou), The Hong Kong University of Science and Technology(Guangzhou), The University of Hong Kong"
9,121595,OpenS2V-Nexus: A Detailed Benchmark and Million-Scale Dataset for Subject-to-Video Generation,0.9920212765957447,5.0,5.0,4.6,Accept (poster),https://openreview.net/forum?id=XKhLsRPMsw,"Kuaishou Technology, National University of Singapore, Peking University, U. Rochester, University of Rochester"
10,116158,GenColor: Generative and Expressive Color Enhancement with Pixel-Perfect Texture Preservation,0.988031914893617,5.0,5.0,4.5,Accept (spotlight),https://openreview.net/forum?id=n8AvXKcCeR,"Alibaba Group, Arashi Vision Inc, City University of Hong Kong, College of Computing and Data Science, Nanyang Technological University, Nanyang Technological University"
