rank,paper_id,title,composite_score,innovation_score,interdisciplinary_score,session_adjusted_highlight_score,decision,openreview_url,institutions
1,117702,Hierarchical Optimization via LLM-Guided Objective Evolution for Mobility-on-Demand Systems,1.0,5.0,5.0,4.8,Accept (poster),https://openreview.net/forum?id=VGB2TV0QUE,"A*STAR, A*STAR, Singapore, Agency for Science, Technology and Research, Lancaster University, Onto Innovation"
2,118234,FlowMoE: A Scalable Pipeline Scheduling Framework for Distributed Mixture-of-Experts Training,0.9960106382978723,5.0,5.0,4.7,Accept (poster),https://openreview.net/forum?id=PBvlBI6c30,"Khalifa University of Science, Technology and Research, Northeastern University, University of Surrey, Xi&#x27;an Jiaotong-Liverpool University, Zhejiang University"
3,119879,StableGuard: Towards Unified Copyright Protection and Tamper Localization in Latent Diffusion Models,0.9960106382978723,5.0,5.0,4.7,Accept (poster),https://openreview.net/forum?id=5KuiDLT0rm,"City University of Hong Kong, Dongguan University of Technology, Hong Kong Polytechnic University, Singapore Management University, South China University of Technology"
4,121816,SoMi-ToM: Evaluating Multi-Perspective Theory of Mind in Embodied Social Interactions,0.9920212765957447,5.0,5.0,4.6,Accept (poster),https://openreview.net/forum?id=7zFLFtqBm0,"CMU, Carnegie Mellon University, Carnegie Mellon University, New York University, Stanford University, The University of Hong Kong, University of California Irvine"
5,118614,Defending Multimodal Backdoored Models by Repulsive Visual Prompt Tuning,0.9920212765957447,5.0,5.0,4.6,Accept (poster),https://openreview.net/forum?id=KkONOZwvSU,"Nanyang Technological University, National University of Singapore, Singapore University of Technology and Design, The University of Queensland, Zhejiang University"
6,119661,InstructSAM: A Training-free Framework for Instruction-Oriented Remote Sensing Object Recognition,0.9920212765957447,5.0,5.0,4.6,Accept (poster),https://openreview.net/forum?id=7yRwAEWxto,"Chinese Academy of Sciences, Harbin Institute of Technology, Shanghai AI Laboratory, Shanghai Jiaotong University, University of Chinese Academy of Sciences, University of Wollongong, University of the Chinese Academy of Sciences"
7,116814,CrossAD: Time Series Anomaly Detection with Cross-scale Associations and Cross-window Modeling,0.988031914893617,5.0,5.0,4.5,Accept (poster),https://openreview.net/forum?id=fkYFDxiLpi,"Aalborg University, East China Normal University, Shandong Inspur Database Technology Co., Ltd, Shanghai Yunxi Technology Co., Ltd., Tsinghua University, University of Jinan"
8,121447,ChartMuseum: Testing Visual Reasoning Capabilities of Large Vision-Language Models,0.988031914893617,5.0,5.0,4.5,Accept (poster),https://openreview.net/forum?id=qLdX6TA19s,"Massachusetts Institute of Technology, New York University, The University of Texas at Austin, UT Austin, Indeed, University of California, Berkeley, University of Pennsylvania, University of Texas at Austin, University of Texas, Austin"
9,115571,SIGMA: Refining Large Language Model Reasoning via Sibling-Guided Monte Carlo Augmentation,0.988031914893617,5.0,5.0,4.5,Accept (poster),https://openreview.net/forum?id=tfbu0ITAez,"Beijing University of Aeronautics and Astronautics, Nanyang Technological University, Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences, Chinese Academy of Sciences, Univerisity of Leicester, University of Sydney"
10,118788,Enhancing Visual Grounding for GUI Agents via Self-Evolutionary Reinforcement Learning,0.988031914893617,5.0,5.0,4.5,Accept (poster),https://openreview.net/forum?id=IbzDaIDyt6,"East China University of Science and Technology, Fudan University, Nanjing University, Nankai University, National University of Singapore, Vivo, vivo Mobile Communication (Hangzhou) Co., Ltd., vivo Mobile Communication Co., Ltd."
